epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77085,2.15058,3.10116,0.00255,0.47428,0.49702,0.43661,0.21844,1.93295,1.93065,0.00248,0.0004,0.0004,0.0964
2,4.82847,2.65799,2.79505,0.00343,0.43851,0.5,0.41194,0.20426,1.95227,1.93069,0.00253,0.000899109,0.000899109,0.0918991
3,6.00304,2.04755,2.28848,0.00237,0.42495,0.49266,0.39981,0.19637,1.97251,1.94957,0.00256,0.00139723,0.00139723,0.0873972
4,7.16995,2.97382,2.69504,0.00292,0.41166,0.51389,0.3859,0.19122,1.9802,1.98405,0.00258,0.00189436,0.00189436,0.0828944
5,8.32903,2.75494,3.49342,0.00326,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.0023905,0.0023905,0.0783905
6,9.4488,2.47776,2.61218,0.00278,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.00288564,0.00288564,0.0738856
7,10.6853,2.65147,2.55166,0.00277,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.0033798,0.0033798,0.0693798
8,11.8261,3.20228,2.92378,0.00342,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00387297,0.00387297,0.064873
9,12.9159,1.74852,2.51692,0.002,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00436515,0.00436515,0.0603652
10,14.0476,2.40781,2.53203,0.00281,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00485634,0.00485634,0.0558563
11,15.1758,2.45696,2.66848,0.00317,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00534654,0.00534654,0.0513465
12,16.2079,1.81367,2.65066,0.00179,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00583575,0.00583575,0.0468357
13,17.4847,3.52413,3.14666,0.00369,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00632397,0.00632397,0.042324
14,18.5726,2.18635,3.24149,0.0024,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.0068112,0.0068112,0.0378112
15,19.6284,1.53105,3.24597,0.00234,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00729744,0.00729744,0.0332974
16,20.7011,1.75873,2.34505,0.00204,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00778268,0.00778268,0.0287827
17,21.7979,2.85637,2.80183,0.00309,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00826694,0.00826694,0.0242669
18,22.8325,2.03057,3.25324,0.00227,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00875021,0.00875021,0.0197502
19,24.082,1.97701,2.37132,0.0026,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00923249,0.00923249,0.0152325
20,25.1747,1.4933,2.75566,0.00203,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00971378,0.00971378,0.0107138
21,26.2411,1.79888,2.81439,0.00212,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.009802,0.009802,0.009802
22,27.3135,2.44415,2.59818,0.00339,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.0097921,0.0097921,0.0097921
23,28.4665,2.64092,3.09893,0.00295,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097822,0.0097822,0.0097822
24,29.5681,1.78359,3.15003,0.00217,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097723,0.0097723,0.0097723
25,30.8321,2.03919,2.07755,0.00264,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097624,0.0097624,0.0097624
26,31.8909,2.68494,2.48541,0.00294,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097525,0.0097525,0.0097525
27,32.9511,2.85508,2.58697,0.0028,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097426,0.0097426,0.0097426
28,34.0259,2.33923,2.5928,0.0026,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097327,0.0097327,0.0097327
29,35.1652,2.46571,2.26997,0.00293,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.0097228,0.0097228,0.0097228
30,36.2951,2.87257,2.19472,0.00341,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.0097129,0.0097129,0.0097129
31,37.5915,2.73821,1.91013,0.00392,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.009703,0.009703,0.009703
32,38.7281,3.16917,2.88388,0.00451,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.0096931,0.0096931,0.0096931
33,39.8505,2.72855,1.86784,0.00341,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.0096832,0.0096832,0.0096832
34,40.974,2.03982,2.92022,0.00294,0.53313,0.62037,0.5759,0.19127,2.60168,1.5816,0.00381,0.0096733,0.0096733,0.0096733
35,42.1512,3.0863,2.43729,0.00385,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096634,0.0096634,0.0096634
36,43.4568,2.07137,1.73973,0.00306,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096535,0.0096535,0.0096535
37,44.6111,2.99702,2.12225,0.00314,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096436,0.0096436,0.0096436
38,45.729,3.12716,2.30107,0.00346,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096337,0.0096337,0.0096337
39,46.894,3.13277,2.46003,0.0037,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096238,0.0096238,0.0096238
40,47.9989,2.51312,1.40551,0.00363,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.0096139,0.0096139,0.0096139
41,49.155,2.4919,1.60329,0.00353,0.60857,0.65278,0.63269,0.20044,2.62317,1.28549,0.00385,0.009604,0.009604,0.009604
