epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17597,1.32071,1.49175,0.00679,0.87055,0.71795,0.82754,0.49525,1.45776,1.06239,0.00793,0.002,0.002,0.098
2,3.44827,1.87163,1.39558,0.01125,0.7485,0.75641,0.80907,0.51403,1.30516,1.77981,0.00708,0.00449555,0.00449555,0.0954955
3,4.69563,1.34368,1.04108,0.00645,0.76072,0.65385,0.75051,0.40175,1.64148,3.58011,0.0092,0.00698614,0.00698614,0.0929861
4,5.88277,1.36727,0.98357,0.00675,0.70758,0.74455,0.78159,0.41919,1.5746,2.78296,0.00858,0.00947179,0.00947179,0.0904718
5,7.05153,1.31981,0.80048,0.006,0.76863,0.59633,0.69394,0.41643,1.35328,3.43702,0.00731,0.0119525,0.0119525,0.0879525
6,8.21911,1.51949,1.14915,0.00857,0.76863,0.59633,0.69394,0.41643,1.35328,3.43702,0.00731,0.0144282,0.0144282,0.0854282
7,9.36092,1.43114,1.13724,0.00801,0.76863,0.59633,0.69394,0.41643,1.35328,3.43702,0.00731,0.016899,0.016899,0.082899
8,10.6887,1.64078,1.33249,0.00937,0.73523,0.47436,0.55056,0.28007,1.51207,nan,0.00849,0.0193649,0.0193649,0.0803649
9,11.8285,1.4508,1.29608,0.00814,0.73523,0.47436,0.55056,0.28007,1.51207,nan,0.00849,0.0218258,0.0218258,0.0778258
10,13.0023,1.51287,1.4782,0.00922,0.73523,0.47436,0.55056,0.28007,1.51207,nan,0.00849,0.0242817,0.0242817,0.0752817
11,14.1634,1.3676,1.32567,0.00777,0.4814,0.5641,0.49145,0.23493,1.55887,nan,0.00841,0.0267327,0.0267327,0.0727327
12,15.2725,1.92703,1.89193,0.0117,0.4814,0.5641,0.49145,0.23493,1.55887,nan,0.00841,0.0291787,0.0291787,0.0701787
13,16.5559,1.8675,2.47591,0.00901,0.4814,0.5641,0.49145,0.23493,1.55887,nan,0.00841,0.0316198,0.0316198,0.0676198
14,17.6894,1.86739,1.87021,0.00969,0.4814,0.5641,0.49145,0.23493,1.55887,nan,0.00841,0.034056,0.034056,0.065056
15,18.798,1.71146,1.98803,0.00816,0.4814,0.5641,0.49145,0.23493,1.55887,nan,0.00841,0.0364872,0.0364872,0.0624872
16,19.9844,1.71767,1.83085,0.01073,0,0,0,0,nan,nan,nan,0.0389134,0.0389134,0.0599134
17,21.1249,1.55692,1.85623,0.0093,0,0,0,0,nan,nan,nan,0.0413347,0.0413347,0.0573347
18,22.3761,1.73015,1.64013,0.01002,0,0,0,0,nan,nan,nan,0.0437511,0.0437511,0.0547511
19,23.4966,1.66842,1.79778,0.00986,0,0,0,0,nan,nan,nan,0.0461625,0.0461625,0.0521625
20,24.6229,1.61738,1.49282,0.00908,0,0,0,0,nan,nan,nan,0.0485689,0.0485689,0.0495689
21,25.7574,1.6493,2.01108,0.01113,0,0,0,0,nan,nan,nan,0.04901,0.04901,0.04901
22,26.9106,1.70144,1.3943,0.00922,0,0,0,0,nan,nan,nan,0.0489605,0.0489605,0.0489605
23,28.2852,1.99274,1.98012,0.01198,0,0,0,0,nan,nan,nan,0.048911,0.048911,0.048911
24,29.4104,1.70431,1.12769,0.00767,0,0,0,0,nan,nan,nan,0.0488615,0.0488615,0.0488615
25,30.4958,2.00916,1.55505,0.01056,0,0,0,0,nan,nan,nan,0.048812,0.048812,0.048812
26,31.6159,1.88449,1.58186,0.01032,0,0,0,0,nan,nan,nan,0.0487625,0.0487625,0.0487625
27,32.7241,1.75752,1.49451,0.00855,0,0,0,0,nan,nan,nan,0.048713,0.048713,0.048713
28,33.8335,1.97786,1.67213,0.011,0,0,0,0,nan,nan,nan,0.0486635,0.0486635,0.0486635
29,35.1422,2.15212,1.83255,0.01392,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.048614,0.048614,0.048614
30,36.3263,2.02596,2.0349,0.01241,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.0485645,0.0485645,0.0485645
31,37.4821,1.91231,1.48565,0.01094,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.048515,0.048515,0.048515
32,38.6143,1.94329,1.45331,0.01026,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.0484655,0.0484655,0.0484655
33,39.7084,2.47374,1.8425,0.01592,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.048416,0.048416,0.048416
34,41.0167,2.04427,1.60046,0.01164,0.58983,0.5641,0.48566,0.21405,nan,nan,nan,0.0483665,0.0483665,0.0483665
35,42.1549,1.84261,1.75418,0.01143,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.048317,0.048317,0.048317
36,43.3223,1.91046,1.63947,0.01161,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.0482675,0.0482675,0.0482675
37,44.442,1.76138,1.61753,0.01099,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.048218,0.048218,0.048218
38,45.547,1.92882,1.72506,0.01236,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.0481685,0.0481685,0.0481685
39,46.658,1.88228,1.60567,0.0099,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.048119,0.048119,0.048119
40,47.9252,1.70746,1.77309,0.00938,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.0480695,0.0480695,0.0480695
41,49.0324,1.998,1.6306,0.01257,0.5468,0.58974,0.49374,0.22296,nan,nan,nan,0.04802,0.04802,0.04802
42,50.1915,1.72827,1.71797,0.00979,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.0479705,0.0479705,0.0479705
43,51.3326,1.91845,1.78699,0.0119,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.047921,0.047921,0.047921
44,52.4819,1.92938,1.68383,0.01057,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.0478715,0.0478715,0.0478715
45,53.569,1.78232,1.33888,0.00856,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.047822,0.047822,0.047822
46,54.871,1.8504,1.77109,0.0105,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.0477725,0.0477725,0.0477725
47,56.0085,1.97646,1.94611,0.01244,0.54588,0.64731,0.54082,0.23875,nan,nan,nan,0.047723,0.047723,0.047723
48,57.1624,1.93092,1.6321,0.01076,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.0476735,0.0476735,0.0476735
49,58.3315,2.28097,2.41831,0.01415,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.047624,0.047624,0.047624
50,59.4447,2.23338,2.25318,0.01333,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.0475745,0.0475745,0.0475745
51,60.7425,2.38129,2.36311,0.01546,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.047525,0.047525,0.047525
52,61.9269,2.26368,1.99101,0.01361,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.0474755,0.0474755,0.0474755
53,63.0519,2.52836,2.49556,0.01801,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.047426,0.047426,0.047426
54,64.1783,2.44448,2.53535,0.01601,0.35569,0.21943,0.18066,0.07661,nan,nan,nan,0.0473765,0.0473765,0.0473765
55,65.3538,2.2681,8.36979,0.01329,0.36609,0.21795,0.17877,0.06692,nan,nan,nan,0.047327,0.047327,0.047327
56,66.6641,2.2188,7.74753,0.01097,0.36609,0.21795,0.17877,0.06692,nan,nan,nan,0.0472775,0.0472775,0.0472775
57,67.7935,1.81494,5.38229,0.01156,0.36609,0.21795,0.17877,0.06692,nan,nan,nan,0.047228,0.047228,0.047228
