run_id,config_id,combo_index,seed_repeat,seed,status,training_params.seed,best_epoch,best_step,mp,mr,map50,map,f1,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_001,cfg001,1,1,217858489,success,217858489,366,,0.7149813642071895,0.9326870088693485,0.8543463462042195,0.6133729743320531,0.8094515144871971,head_only,0.05,0.0
run_002,cfg001,1,2,2104392253,success,2104392253,359,,0.7909600236017668,0.9230769230769231,0.9192916832019049,0.6206398160796558,0.8519267292084057,head_only,0.05,0.0
run_003,cfg002,2,1,1656133279,success,1656133279,104,,0.783930191477009,0.8205128205128205,0.8587457545040127,0.5485287297259652,0.8018044488800249,head_only,0.05,0.001
run_004,cfg002,2,2,569072222,success,569072222,111,,0.6993198732411721,0.8647509547399621,0.8522293634947066,0.5129496923650958,0.7732866277347731,head_only,0.05,0.001
run_005,cfg003,3,1,1970968705,success,1970968705,111,,0.8089517508785797,0.8143253751400069,0.8866684935212213,0.5373381149254735,0.8116296687061457,head_only,0.05,0.01
run_006,cfg003,3,2,644929351,success,644929351,101,,0.7783775789012494,0.7948717948717948,0.8256677752799358,0.5617970406690161,0.7865382227934741,head_only,0.05,0.01
run_007,cfg004,4,1,459742809,success,459742809,404,,0.8734523041770658,0.9358974358974359,0.9438689434605274,0.7067200829333814,0.9035973021162435,head_only,0.01,0.0
run_008,cfg004,4,2,1031850005,success,1031850005,244,,0.8258655952512263,0.8846153846153846,0.9237131308022521,0.6593543387740263,0.8542315521576271,head_only,0.01,0.0
run_009,cfg005,5,1,1007355452,success,1007355452,539,,0.8136818688394027,0.9518435942107691,0.9272831967630032,0.694771241101289,0.8773567878677755,head_only,0.01,0.001
run_010,cfg005,5,2,1582837904,success,1582837904,302,,0.818168628975231,0.9102564102564102,0.9166745482278543,0.6721693263525277,0.8617593731764875,head_only,0.01,0.001
run_011,cfg006,6,1,2130072329,success,2130072329,455,,0.8152233163793213,0.9230769230769231,0.9344750262603471,0.7019788904665281,0.8658042073783319,head_only,0.01,0.01
run_012,cfg006,6,2,938855204,success,938855204,340,,0.8375531977312328,0.9254331734661936,0.9273658874488525,0.6825502719717261,0.8793028992013397,head_only,0.01,0.01
run_013,cfg007,7,1,971135284,success,971135284,391,,0.8628693199101095,0.9487179487179487,0.9420422804969623,0.684538279737968,0.9037595100971572,head_only,0.005,0.0
run_014,cfg007,7,2,1913878136,success,1913878136,244,,0.8047656449958815,0.9358974358974359,0.9119236408265353,0.6475039927255751,0.865392173726643,head_only,0.005,0.0
run_015,cfg008,8,1,918418534,success,918418534,270,,0.8029413866632711,0.9102564102564102,0.9083588193318937,0.6453906371466512,0.8532377820991079,head_only,0.005,0.001
