epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.11225,3.41326,5.31545,0.00321,0.01835,0.04255,0.01016,0.00729,3.76438,5.31343,0.00435,4e-05,4e-05,0.09604
2,2.27749,3.70903,5.29498,0.00309,0.01778,0.04255,0.00979,0.00655,3.74394,5.37276,0.00428,8.99109e-05,8.99109e-05,0.0910899
3,3.44186,2.24344,3.83652,0.00195,0.01843,0.04255,0.0102,0.00681,3.66048,5.42206,0.00405,0.000139723,0.000139723,0.0861397
4,4.79654,2.5458,3.98377,0.00209,0.01869,0.04255,0.01041,0.00695,3.60915,5.43333,0.00388,0.000189436,0.000189436,0.0811894
5,5.94594,3.07748,5.09188,0.00273,0.02995,0.19149,0.02111,0.00588,3.38907,4.44106,0.0031,0.00023905,0.00023905,0.076239
6,7.30022,2.95594,4.36412,0.00218,0.02995,0.19149,0.02111,0.00588,3.38907,4.44106,0.0031,0.000288564,0.000288564,0.0712886
7,8.60509,3.17794,4.40459,0.00219,0.02995,0.19149,0.02111,0.00588,3.38907,4.44106,0.0031,0.00033798,0.00033798,0.066338
8,9.95459,3.12075,3.95057,0.00239,0.09582,0.05319,0.02704,0.00706,3.21381,3.57984,0.00257,0.000387297,0.000387297,0.0613873
9,11.2041,3.41299,4.08993,0.00229,0.09582,0.05319,0.02704,0.00706,3.21381,3.57984,0.00257,0.000436515,0.000436515,0.0564365
10,12.6959,3.22139,4.56011,0.00208,0.09582,0.05319,0.02704,0.00706,3.21381,3.57984,0.00257,0.000485634,0.000485634,0.0514856
11,14.0194,3.80373,4.4059,0.00268,0.09373,0.11702,0.0405,0.0099,3.2178,3.18571,0.0025,0.000534654,0.000534654,0.0465347
12,15.2705,2.70969,3.21085,0.00168,0.09373,0.11702,0.0405,0.0099,3.2178,3.18571,0.0025,0.000583575,0.000583575,0.0415836
13,16.5592,3.39382,3.32582,0.00225,0.09373,0.11702,0.0405,0.0099,3.2178,3.18571,0.0025,0.000632397,0.000632397,0.0366324
14,17.9122,3.3307,3.75066,0.00225,0.09373,0.11702,0.0405,0.0099,3.2178,3.18571,0.0025,0.00068112,0.00068112,0.0316811
15,19.286,3.07465,3.14686,0.00238,0.09373,0.11702,0.0405,0.0099,3.2178,3.18571,0.0025,0.000729744,0.000729744,0.0267297
16,20.5439,3.05074,3.29684,0.00199,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.000778268,0.000778268,0.0217783
17,21.741,2.92572,2.81393,0.00196,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.000826694,0.000826694,0.0168267
18,23.0844,3.13061,3.29944,0.00225,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.000875021,0.000875021,0.011875
19,24.3452,2.94685,3.02206,0.00204,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.000923249,0.000923249,0.00692325
20,25.8078,3.19953,2.89466,0.00215,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.000971378,0.000971378,0.00197138
21,27.0673,2.93462,3.18896,0.00202,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.0009802,0.0009802,0.0009802
22,28.3459,3.09537,3.24886,0.00202,0.10645,0.15957,0.04949,0.01394,3.103,3.07639,0.00237,0.00097921,0.00097921,0.00097921
23,29.6506,3.32923,3.73218,0.00216,0.1268,0.19149,0.06038,0.01708,3.02521,3.04508,0.00231,0.00097822,0.00097822,0.00097822
24,30.9854,2.74094,3.03028,0.002,0.1268,0.19149,0.06038,0.01708,3.02521,3.04508,0.00231,0.00097723,0.00097723,0.00097723
25,32.4069,2.90072,3.41811,0.00193,0.1268,0.19149,0.06038,0.01708,3.02521,3.04508,0.00231,0.00097624,0.00097624,0.00097624
26,33.727,2.64425,2.75659,0.00177,0.1268,0.19149,0.06038,0.01708,3.02521,3.04508,0.00231,0.00097525,0.00097525,0.00097525
