epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02027,2.15058,3.10116,0.00255,0.47428,0.49702,0.43661,0.21844,1.93295,1.93065,0.00248,0.0004,0.0004,0.0964
2,3.02719,2.65799,2.79505,0.00343,0.43851,0.5,0.41194,0.20426,1.95227,1.93069,0.00253,0.000899109,0.000899109,0.0918991
3,4.21284,2.04755,2.28848,0.00237,0.42495,0.49266,0.39981,0.19637,1.97251,1.94957,0.00256,0.00139723,0.00139723,0.0873972
4,5.30152,2.97382,2.69504,0.00292,0.41166,0.51389,0.3859,0.19122,1.9802,1.98405,0.00258,0.00189436,0.00189436,0.0828944
5,6.38582,2.75494,3.49342,0.00326,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.0023905,0.0023905,0.0783905
6,7.4084,2.47776,2.61218,0.00278,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.00288564,0.00288564,0.0738856
7,8.63193,2.65147,2.55166,0.00277,0.39623,0.50435,0.37449,0.18275,2.00478,2.00544,0.00263,0.0033798,0.0033798,0.0693798
8,9.77126,3.20228,2.92378,0.00342,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00387297,0.00387297,0.064873
9,10.8181,1.74852,2.51692,0.002,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00436515,0.00436515,0.0603652
10,11.8843,2.40781,2.53203,0.00281,0.38478,0.5,0.36831,0.17841,2.02754,2.05848,0.00268,0.00485634,0.00485634,0.0558563
11,13.0447,2.45696,2.66848,0.00317,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00534654,0.00534654,0.0513465
12,14.0967,1.81367,2.65066,0.00179,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00583575,0.00583575,0.0468357
13,15.3631,3.52413,3.14666,0.00369,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00632397,0.00632397,0.042324
14,16.4513,2.18635,3.24149,0.0024,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.0068112,0.0068112,0.0378112
15,17.4914,1.53105,3.24597,0.00234,0.37135,0.47685,0.35467,0.17127,2.0665,2.10626,0.00276,0.00729744,0.00729744,0.0332974
16,18.5751,1.75873,2.34505,0.00204,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00778268,0.00778268,0.0287827
17,19.6674,2.85637,2.80183,0.00309,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00826694,0.00826694,0.0242669
18,20.7173,2.03057,3.25324,0.00227,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00875021,0.00875021,0.0197502
19,21.9402,1.97701,2.37132,0.0026,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00923249,0.00923249,0.0152325
20,22.9863,1.4933,2.75566,0.00203,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.00971378,0.00971378,0.0107138
21,24.0291,1.79888,2.81439,0.00212,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.009802,0.009802,0.009802
22,25.0827,2.44415,2.59818,0.00339,0.36382,0.4537,0.34826,0.16953,2.09435,2.13614,0.00282,0.0097921,0.0097921,0.0097921
23,26.2274,2.64092,3.09893,0.00295,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097822,0.0097822,0.0097822
24,27.3216,1.78359,3.15003,0.00217,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097723,0.0097723,0.0097723
25,28.5814,2.03919,2.07755,0.00264,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097624,0.0097624,0.0097624
26,29.6396,2.68494,2.48541,0.00294,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097525,0.0097525,0.0097525
27,30.698,2.85508,2.58697,0.0028,0.36071,0.45833,0.35104,0.16983,2.11585,2.12195,0.00287,0.0097426,0.0097426,0.0097426
