epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.23301,3.34415,4.67802,0.00306,0.01835,0.04255,0.01012,0.00727,3.76234,5.32598,0.00434,0.0004,0.0004,0.0964
2,2.47935,3.25922,4.03901,0.0028,0.01058,0.20213,0.00866,0.00275,3.81538,4.27937,0.00432,0.000899109,0.000899109,0.0918991
3,3.89202,3.52963,3.62267,0.00249,0.07685,0.05319,0.01807,0.00445,3.42633,3.89556,0.00327,0.00139723,0.00139723,0.0873972
4,5.42263,3.47545,3.58822,0.00247,0.03968,0.08511,0.01815,0.00498,3.37448,3.62618,0.00307,0.00189436,0.00189436,0.0828944
5,6.75371,3.13718,3.40543,0.00234,0.05831,0.09574,0.02693,0.0064,3.37937,3.38132,0.00292,0.0023905,0.0023905,0.0783905
6,8.05178,3.64722,3.5032,0.00249,0.05831,0.09574,0.02693,0.0064,3.37937,3.38132,0.00292,0.00288564,0.00288564,0.0738856
7,9.2871,3.38246,3.50011,0.00241,0.05831,0.09574,0.02693,0.0064,3.37937,3.38132,0.00292,0.0033798,0.0033798,0.0693798
8,10.5408,4.03004,4.18635,0.0025,0.08342,0.10638,0.0351,0.00846,3.32297,3.30676,0.00277,0.00387297,0.00387297,0.064873
9,11.84,3.35663,3.41344,0.00225,0.08342,0.10638,0.0351,0.00846,3.32297,3.30676,0.00277,0.00436515,0.00436515,0.0603652
10,13.167,3.27915,3.11625,0.00238,0.08342,0.10638,0.0351,0.00846,3.32297,3.30676,0.00277,0.00485634,0.00485634,0.0558563
11,14.5123,3.54534,4.0362,0.00223,0.10058,0.09574,0.03885,0.00949,3.35139,3.31607,0.00273,0.00534654,0.00534654,0.0513465
12,15.7407,3.08891,3.20783,0.00206,0.10058,0.09574,0.03885,0.00949,3.35139,3.31607,0.00273,0.00583575,0.00583575,0.0468357
13,16.9995,2.88215,3.15356,0.00218,0.10058,0.09574,0.03885,0.00949,3.35139,3.31607,0.00273,0.00632397,0.00632397,0.042324
14,18.3212,3.20643,3.4214,0.00248,0.10058,0.09574,0.03885,0.00949,3.35139,3.31607,0.00273,0.0068112,0.0068112,0.0378112
15,19.7687,3.28944,3.74713,0.0024,0.10058,0.09574,0.03885,0.00949,3.35139,3.31607,0.00273,0.00729744,0.00729744,0.0332974
16,21.0016,3.39348,3.54376,0.00247,0.16215,0.24468,0.06809,0.01728,3.14047,14.1645,0.0024,0.00778268,0.00778268,0.0287827
17,22.3042,3.09433,3.58002,0.00188,0.16215,0.24468,0.06809,0.01728,3.14047,14.1645,0.0024,0.00826694,0.00826694,0.0242669
