epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0488,1.43348,1.77362,0.0083,0.79631,0.79487,0.82562,0.56027,1.24365,0.88414,0.00695,4e-06,4e-06,0.096004
2,3.07521,1.51165,1.72654,0.00967,0.86248,0.72371,0.83919,0.55691,1.23605,1.08428,0.00684,8.99109e-06,8.99109e-06,0.091009
3,4.11841,1.43364,1.43385,0.00844,0.87318,0.74359,0.8425,0.54272,1.31308,1.59977,0.00732,1.39723e-05,1.39723e-05,0.086014
4,5.15012,1.39668,1.21748,0.00816,0.83119,0.74359,0.84733,0.5278,1.31883,2.63786,0.00733,1.89436e-05,1.89436e-05,0.0810189
5,6.21419,1.5445,1.01407,0.00748,0.81977,0.73077,0.83401,0.52362,1.26905,3.96168,0.007,2.3905e-05,2.3905e-05,0.0760239
6,7.23808,1.44686,1.40948,0.00855,0.81977,0.73077,0.83401,0.52362,1.26905,3.96168,0.007,2.88565e-05,2.88565e-05,0.0710289
7,8.16527,1.41464,1.13941,0.00775,0.81977,0.73077,0.83401,0.52362,1.26905,3.96168,0.007,3.3798e-05,3.3798e-05,0.0660338
8,9.34438,1.37661,1.25374,0.00805,0.81488,0.78205,0.83549,0.54713,1.19411,4.14458,0.00654,3.87297e-05,3.87297e-05,0.0610387
9,10.3506,1.37158,1.1941,0.0086,0.81488,0.78205,0.83549,0.54713,1.19411,4.14458,0.00654,4.36515e-05,4.36515e-05,0.0560437
10,11.3709,1.14377,1.295,0.00586,0.81488,0.78205,0.83549,0.54713,1.19411,4.14458,0.00654,4.85634e-05,4.85634e-05,0.0510486
11,12.3899,1.35457,1.40238,0.00852,0.85752,0.74359,0.83864,0.57109,1.16508,2.82783,0.00648,5.34654e-05,5.34654e-05,0.0460535
12,13.3852,1.28571,1.1566,0.00741,0.85752,0.74359,0.83864,0.57109,1.16508,2.82783,0.00648,5.83575e-05,5.83575e-05,0.0410584
13,14.3739,1.41246,1.40784,0.00889,0.85752,0.74359,0.83864,0.57109,1.16508,2.82783,0.00648,6.32397e-05,6.32397e-05,0.0360632
14,15.5005,1.40415,1.06306,0.00713,0.85752,0.74359,0.83864,0.57109,1.16508,2.82783,0.00648,6.8112e-05,6.8112e-05,0.0310681
15,16.538,1.18576,0.87918,0.00562,0.85752,0.74359,0.83864,0.57109,1.16508,2.82783,0.00648,7.29744e-05,7.29744e-05,0.026073
16,17.5704,1.21876,0.87426,0.00653,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,7.78269e-05,7.78269e-05,0.0210778
17,18.5839,1.3151,0.99707,0.00749,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,8.26694e-05,8.26694e-05,0.0160827
18,19.5845,1.30763,1.28688,0.00769,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,8.75021e-05,8.75021e-05,0.0110875
19,20.5971,1.38108,1.4006,0.00885,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,9.23249e-05,9.23249e-05,0.00609232
20,21.7631,1.5267,1.44852,0.00872,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,9.71378e-05,9.71378e-05,0.00109714
21,22.8101,1.16901,1.01078,0.00614,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,9.802e-05,9.802e-05,9.802e-05
22,23.8195,1.40271,1.42615,0.00874,0.84193,0.75121,0.83822,0.57531,1.16803,1.43784,0.00652,9.7921e-05,9.7921e-05,9.7921e-05
23,24.8656,1.33025,1.35156,0.00762,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7822e-05,9.7822e-05,9.7822e-05
24,25.8864,1.18871,1.19508,0.00645,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7723e-05,9.7723e-05,9.7723e-05
25,26.8978,1.19468,1.28295,0.00665,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7624e-05,9.7624e-05,9.7624e-05
26,27.8879,1.31335,1.05277,0.00685,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7525e-05,9.7525e-05,9.7525e-05
27,29.0759,1.38221,1.09122,0.0082,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7426e-05,9.7426e-05,9.7426e-05
28,30.0809,1.22066,1.07399,0.00652,0.82319,0.74359,0.81128,0.56825,1.15057,1.06126,0.00632,9.7327e-05,9.7327e-05,9.7327e-05
29,31.1064,1.0834,0.97223,0.00572,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.7228e-05,9.7228e-05,9.7228e-05
30,32.1074,1.28046,1.04846,0.00689,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.7129e-05,9.7129e-05,9.7129e-05
31,33.1182,1.14538,0.89942,0.00571,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.703e-05,9.703e-05,9.703e-05
32,34.1139,1.34476,1.05845,0.00806,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.6931e-05,9.6931e-05,9.6931e-05
33,35.2914,1.21684,0.94516,0.00612,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.6832e-05,9.6832e-05,9.6832e-05
34,36.2974,1.26204,0.90835,0.00677,0.84706,0.74359,0.81818,0.57048,1.14515,0.99512,0.0063,9.6733e-05,9.6733e-05,9.6733e-05
35,37.3242,1.3113,1.09847,0.00797,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6634e-05,9.6634e-05,9.6634e-05
36,38.3705,1.14218,0.9439,0.00493,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6535e-05,9.6535e-05,9.6535e-05
37,39.3631,1.28093,1.12327,0.00662,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6436e-05,9.6436e-05,9.6436e-05
38,40.3663,1.50133,1.23572,0.00873,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6337e-05,9.6337e-05,9.6337e-05
39,41.5218,1.17583,0.75636,0.00515,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6238e-05,9.6238e-05,9.6238e-05
40,42.5164,1.31064,0.94542,0.0074,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.6139e-05,9.6139e-05,9.6139e-05
41,43.5058,1.18996,1.27342,0.00655,0.83076,0.74359,0.81962,0.57307,1.13138,0.96588,0.00624,9.604e-05,9.604e-05,9.604e-05
42,44.5487,1.12085,0.81113,0.00592,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5941e-05,9.5941e-05,9.5941e-05
43,45.575,1.19217,1.1096,0.00657,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5842e-05,9.5842e-05,9.5842e-05
44,46.5866,1.16237,0.77754,0.00584,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5743e-05,9.5743e-05,9.5743e-05
45,47.5384,1.19284,1.14772,0.00697,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5644e-05,9.5644e-05,9.5644e-05
46,48.6963,1.34023,1.19241,0.00855,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5545e-05,9.5545e-05,9.5545e-05
47,49.7011,1.28491,1.10127,0.00742,0.82872,0.74438,0.83121,0.57498,1.13522,0.95292,0.00628,9.5446e-05,9.5446e-05,9.5446e-05
48,50.7401,1.23612,0.8682,0.00661,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.5347e-05,9.5347e-05,9.5347e-05
49,51.7416,1.19997,1.20794,0.007,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.5248e-05,9.5248e-05,9.5248e-05
50,52.7302,1.28863,0.82454,0.00619,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.5149e-05,9.5149e-05,9.5149e-05
51,53.7318,1.31712,1.00371,0.00762,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.505e-05,9.505e-05,9.505e-05
52,54.7496,1.13169,0.6072,0.00463,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.4951e-05,9.4951e-05,9.4951e-05
53,55.9227,1.24546,1.08584,0.00704,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.4852e-05,9.4852e-05,9.4852e-05
54,56.9127,1.23155,0.96736,0.00665,0.83379,0.74359,0.82377,0.5723,1.1413,0.97069,0.00631,9.4753e-05,9.4753e-05,9.4753e-05
55,57.9366,1.36112,0.97475,0.00745,0.82957,0.74359,0.8276,0.57771,1.12726,0.95292,0.00621,9.4654e-05,9.4654e-05,9.4654e-05
56,58.9792,1.06881,1.01647,0.00467,0.82957,0.74359,0.8276,0.57771,1.12726,0.95292,0.00621,9.4555e-05,9.4555e-05,9.4555e-05
