run_id,config_id,combo_index,seed_repeat,seed,status,training_params.seed,best_epoch,best_step,mp,mr,map50,map,f1,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_001,cfg001,1,1,941800892,success,941800892,263,,0.697597127399609,0.7453703703703703,0.7514719326778946,0.3530254559473496,0.7206929193107025,head_only,0.01,0.0
run_002,cfg001,1,2,1781260929,success,1781260929,263,,0.697597127399609,0.7453703703703703,0.7514719326778946,0.3530254559473496,0.7206929193107025,head_only,0.01,0.0
run_003,cfg002,2,1,1095435656,success,1095435656,340,,0.7199723919140981,0.7379992153591309,0.73186499031163,0.3507391424364349,0.7288743589548741,head_only,0.01,0.001
run_004,cfg002,2,2,302914985,success,302914985,340,,0.7199723919140981,0.7379992153591309,0.73186499031163,0.3507391424364349,0.7288743589548741,head_only,0.01,0.001
run_005,cfg003,3,1,337436412,success,337436412,101,,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,0.35073068893528186,head_only,0.001,0.0
run_006,cfg003,3,2,1084172679,success,1084172679,101,,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,0.35073068893528186,head_only,0.001,0.0
run_007,cfg004,4,1,2018226899,success,2018226899,101,,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,0.35073068893528186,head_only,0.001,0.001
run_008,cfg004,4,2,1238126744,success,1238126744,101,,0.22641509433962265,0.7777777777777778,0.3525387059559126,0.18583128825228412,0.35073068893528186,head_only,0.001,0.001
run_009,cfg005,5,1,618759150,success,618759150,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,0.3510971786833856,head_only,0.0001,0.0
run_010,cfg005,5,2,2125939095,success,2125939095,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,0.3510971786833856,head_only,0.0001,0.0
run_011,cfg006,6,1,313355093,success,313355093,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,0.3510971786833856,head_only,0.0001,0.001
run_012,cfg006,6,2,1278818215,success,1278818215,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583812049543305,0.3510971786833856,head_only,0.0001,0.001
run_013,cfg007,7,1,1164794961,success,1164794961,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,0.3510971786833856,head_only,1e-05,0.0
run_014,cfg007,7,2,405503548,success,405503548,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,0.3510971786833856,head_only,1e-05,0.0
run_015,cfg008,8,1,1951517186,success,1951517186,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,0.3510971786833856,head_only,1e-05,0.001
run_016,cfg008,8,2,209545455,success,209545455,101,,0.22672064777327935,0.7777777777777778,0.35251518929032966,0.18583876486559597,0.3510971786833856,head_only,1e-05,0.001
run_017,cfg009,9,1,510107334,success,510107334,583,,0.8431631101083742,0.8287037037037037,0.8638162367568969,0.41098874266057867,0.8358708796664741,head_and_last_stage,0.01,0.0
run_018,cfg009,9,2,34677595,success,34677595,583,,0.8431631101083742,0.8287037037037037,0.8638162367568969,0.41098874266057867,0.8358708796664741,head_and_last_stage,0.01,0.0
run_019,cfg010,10,1,393733721,success,393733721,436,,0.9376149835271079,0.8148148148148148,0.887956296132496,0.43816966284419917,0.8719123355390157,head_and_last_stage,0.01,0.001
run_020,cfg010,10,2,1846487151,success,1846487151,436,,0.9376149835271079,0.8148148148148148,0.887956296132496,0.43816966284419917,0.8719123355390157,head_and_last_stage,0.01,0.001
run_021,cfg011,11,1,604215506,success,604215506,603,,0.9464461786779578,0.7175925925925926,0.8527442415246284,0.42002685715691684,0.8162823833585368,head_and_last_stage,0.001,0.0
run_022,cfg011,11,2,2144391428,success,2144391428,603,,0.9464461786779578,0.7175925925925926,0.8527442415246284,0.42002685715691684,0.8162823833585368,head_and_last_stage,0.001,0.0
run_023,cfg012,12,1,2023309017,success,2023309017,564,,0.8331642628265663,0.7916666666666666,0.8509443747552979,0.4108675979785062,0.8118855479239514,head_and_last_stage,0.001,0.001
run_024,cfg012,12,2,1723247330,success,1723247330,564,,0.8331642628265663,0.7916666666666666,0.8509443747552979,0.4108675979785062,0.8118855479239514,head_and_last_stage,0.001,0.001
run_025,cfg013,13,1,1716619927,success,1716619927,101,,0.46580804199787695,0.4844415631440199,0.4100460152157943,0.2062302044074183,0.4749421094614617,head_and_last_stage,0.0001,0.0
run_026,cfg013,13,2,618558110,success,618558110,101,,0.46580804199787695,0.4844415631440199,0.4100460152157943,0.2062302044074183,0.4749421094614617,head_and_last_stage,0.0001,0.0
run_027,cfg014,14,1,699657436,success,699657436,101,,0.46580804199787695,0.4844415631440199,0.4100460152157943,0.2062302044074183,0.4749421094614617,head_and_last_stage,0.0001,0.001
run_028,cfg014,14,2,1332761585,success,1332761585,101,,0.46580804199787695,0.4844415631440199,0.4100460152157943,0.2062302044074183,0.4749421094614617,head_and_last_stage,0.0001,0.001
run_029,cfg015,15,1,743047685,success,743047685,101,,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,0.47489923376623666,head_and_last_stage,1e-05,0.0
