n_runs,parameter,parameter_label,value,display_label,map_mean,map_std,map_global_mean,map_delta_from_global,map_improvement
16,training_params.trainability_policy,trainability_policy,head_only,trainability_policy=head_only,0.22734761820130134,0.07426048304766142,0.27855513509805424,-0.0512075168967529,-0.0512075168967529
16,training_params.trainability_policy,trainability_policy,head_and_last_stage,trainability_policy=head_and_last_stage,0.3131184814696127,0.11069875825192443,0.27855513509805424,0.034563346371558445,0.034563346371558445
16,training_params.trainability_policy,trainability_policy,neck_head,trainability_policy=neck_head,0.2868772203606515,0.09058504428771115,0.27855513509805424,0.008322085262597256,0.008322085262597256
16,training_params.trainability_policy,trainability_policy,backbone_frozen,trainability_policy=backbone_frozen,0.2868772203606515,0.09058504428771115,0.27855513509805424,0.008322085262597256,0.008322085262597256
16,training_params.learning_rate,learning_rate,0.01,learning_rate=0.01,0.40386247299201616,0.03221135167934491,0.27855513509805424,0.12530733789396192,0.12530733789396192
16,training_params.learning_rate,learning_rate,0.001,learning_rate=0.001,0.3064858762111831,0.08409432422139265,0.27855513509805424,0.027930741113128876,0.027930741113128876
16,training_params.learning_rate,learning_rate,0.0001,learning_rate=0.0001,0.2019325478369593,0.009620566078449931,0.27855513509805424,-0.07662258726109494,-0.07662258726109494
16,training_params.learning_rate,learning_rate,1e-05,learning_rate=1e-05,0.20193964335205847,0.009625396278221631,0.27855513509805424,-0.07661549174599577,-0.07661549174599577
32,training_params.weight_decay,weight_decay,0.0,weight_decay=0.0,0.27886850798758084,0.09675823054791573,0.27855513509805424,0.0003133728895265975,0.0003133728895265975
32,training_params.weight_decay,weight_decay,0.001,weight_decay=0.001,0.27824176220852764,0.09600982993236816,0.27855513509805424,-0.0003133728895265975,-0.0003133728895265975
