run_id,combo_index,seed_repeat,training_params.seed,mp,mr,map50,map,output_dir,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_029,15,1,743047685,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_029,head_and_last_stage,1e-05,0.0
run_030,15,2,762290846,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_030,head_and_last_stage,1e-05,0.0
run_031,16,1,1040432676,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_031,head_and_last_stage,1e-05,0.001
run_032,16,2,1791807031,0.46577855959361686,0.4843842362468475,0.4100413158890988,0.20621729115093204,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_032,head_and_last_stage,1e-05,0.001
run_033,17,1,1914551327,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_033,neck_head,0.01,0.0
run_034,17,2,6815572,0.8907903794384061,0.8009259259259259,0.8838654200918263,0.4260157620799273,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_034,neck_head,0.01,0.0
run_035,18,1,259995964,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_035,neck_head,0.01,0.001
run_036,18,2,168867618,0.8838629308457865,0.8194444444444444,0.8845683434348285,0.4129726279438561,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_036,neck_head,0.01,0.001
run_037,19,1,1653514268,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_037,neck_head,0.001,0.0
run_038,19,2,165910233,0.5643194189250955,0.7175925925925926,0.6315616424031484,0.3122517474341194,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_038,neck_head,0.001,0.0
run_039,20,1,1831431945,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_039,neck_head,0.001,0.001
run_040,20,2,2106757945,0.5671954850669857,0.7175925925925926,0.6315525068799879,0.3124132415906174,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_040,neck_head,0.001,0.001
run_041,21,1,1299357275,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_041,neck_head,0.0001,0.0
run_042,21,2,1143075214,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_042,neck_head,0.0001,0.0
run_043,22,1,1246201169,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_043,neck_head,0.0001,0.001
run_044,22,2,1781211660,0.4650902181199394,0.4870698794761681,0.4139496414441711,0.20783093322249294,/home/beissner/DI/screw_detection/Experiments/Finetuning_study/Finetuning_hp_series/runs/run_044,neck_head,0.0001,0.001
