epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.13199,1.54106,1.73054,0.00857,0.84464,0.78205,0.81146,0.5235,1.39358,1.24557,0.00777,4e-06,4e-06,0.096004
2,3.42113,1.41224,1.40662,0.00719,0.88908,0.79487,0.84584,0.51848,1.40087,1.05556,0.00753,8.99109e-06,8.99109e-06,0.091009
3,4.70869,1.49871,1.66543,0.01012,0.84411,0.84615,0.87003,0.55535,1.26472,1.60881,0.00678,1.39723e-05,1.39723e-05,0.086014
4,5.99903,1.23196,1.35775,0.00725,0.8389,0.79487,0.84654,0.57414,1.16113,3.21359,0.00636,1.89436e-05,1.89436e-05,0.0810189
5,7.21653,1.31902,1.09672,0.00844,0.84659,0.78205,0.85149,0.58919,1.09065,4.5124,0.00593,2.3905e-05,2.3905e-05,0.0760239
6,8.39299,1.17977,1.02195,0.00669,0.84659,0.78205,0.85149,0.58919,1.09065,4.5124,0.00593,2.88565e-05,2.88565e-05,0.0710289
7,9.59845,1.23469,1.14915,0.00713,0.84659,0.78205,0.85149,0.58919,1.09065,4.5124,0.00593,3.3798e-05,3.3798e-05,0.0660338
8,10.9814,1.40083,1.16389,0.00916,0.88799,0.73077,0.8608,0.60363,1.04966,4.0798,0.00573,3.87297e-05,3.87297e-05,0.0610387
9,12.1649,1.23118,1.13697,0.00627,0.88799,0.73077,0.8608,0.60363,1.04966,4.0798,0.00573,4.36515e-05,4.36515e-05,0.0560437
10,13.3637,1.31118,1.2908,0.00831,0.88799,0.73077,0.8608,0.60363,1.04966,4.0798,0.00573,4.85634e-05,4.85634e-05,0.0510486
11,14.5446,1.31602,1.18016,0.00822,0.89702,0.78171,0.86298,0.61176,0.99728,2.22464,0.00543,5.34654e-05,5.34654e-05,0.0460535
12,15.7016,1.15615,0.86609,0.00605,0.89702,0.78171,0.86298,0.61176,0.99728,2.22464,0.00543,5.83575e-05,5.83575e-05,0.0410584
13,17.0151,1.22733,0.80072,0.00573,0.89702,0.78171,0.86298,0.61176,0.99728,2.22464,0.00543,6.32397e-05,6.32397e-05,0.0360632
