epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09503,1.51761,1.48013,0.00857,0.79322,0.84615,0.85645,0.53236,1.34517,4.14526,0.00743,0.002,0.002,0.098
2,3.25388,1.4102,1.05161,0.00749,0.79435,0.83333,0.8585,0.5372,1.31457,3.4645,0.00725,0.00449555,0.00449555,0.0954955
3,4.39937,1.38676,0.62743,0.00579,0.76173,0.80769,0.8447,0.53866,1.3062,2.87237,0.00718,0.00698614,0.00698614,0.0929861
4,5.54035,1.82166,1.16163,0.00969,0.64057,0.70513,0.67811,0.18737,2.44015,9.38153,0.01469,0.00947179,0.00947179,0.0904718
5,6.64314,2.15927,1.42867,0.0116,0.79323,0.38462,0.49566,0.15299,2.4861,2.74673,0.01521,0.0119525,0.0119525,0.0879525
6,7.72429,1.94857,1.68568,0.01075,0.79323,0.38462,0.49566,0.15299,2.4861,2.74673,0.01521,0.0144282,0.0144282,0.0854282
7,9.03913,1.99239,1.61847,0.01034,0.79323,0.38462,0.49566,0.15299,2.4861,2.74673,0.01521,0.016899,0.016899,0.082899
8,10.2136,1.81757,1.54297,0.00848,0.55711,0.55128,0.62513,0.2524,1.91357,1.73842,0.01111,0.0193649,0.0193649,0.0803649
9,11.2869,1.60968,1.35039,0.00734,0.55711,0.55128,0.62513,0.2524,1.91357,1.73842,0.01111,0.0218258,0.0218258,0.0778258
10,12.4113,1.6866,1.5302,0.00785,0.55711,0.55128,0.62513,0.2524,1.91357,1.73842,0.01111,0.0242817,0.0242817,0.0752817
11,13.5421,1.72285,1.57278,0.00883,0.7568,0.58974,0.7096,0.31471,1.80239,1.49394,0.00986,0.0267327,0.0267327,0.0727327
12,14.632,1.69167,1.48511,0.0076,0.7568,0.58974,0.7096,0.31471,1.80239,1.49394,0.00986,0.0291787,0.0291787,0.0701787
13,15.8921,1.76367,1.58012,0.00905,0.7568,0.58974,0.7096,0.31471,1.80239,1.49394,0.00986,0.0316198,0.0316198,0.0676198
14,16.984,1.65433,1.52073,0.00906,0.7568,0.58974,0.7096,0.31471,1.80239,1.49394,0.00986,0.034056,0.034056,0.065056
15,18.0676,1.68263,1.4749,0.00708,0.7568,0.58974,0.7096,0.31471,1.80239,1.49394,0.00986,0.0364872,0.0364872,0.0624872
16,19.1655,1.69561,1.47476,0.00821,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0389134,0.0389134,0.0599134
17,20.2625,1.64509,1.35153,0.00807,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0413347,0.0413347,0.0573347
18,21.3301,1.74968,1.40726,0.00795,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0437511,0.0437511,0.0547511
19,22.5502,1.70273,1.76893,0.00985,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0461625,0.0461625,0.0521625
20,23.6515,1.82192,1.75558,0.00915,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0485689,0.0485689,0.0495689
21,24.7492,1.67122,1.66735,0.0097,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.04901,0.04901,0.04901
22,25.83,1.58606,1.41565,0.00763,0.80691,0.67949,0.77967,0.38274,1.78742,1.4092,0.00952,0.0489605,0.0489605,0.0489605
23,26.9379,1.87658,1.98181,0.00779,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.048911,0.048911,0.048911
24,28.0612,2.04214,2.27667,0.01044,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.0488615,0.0488615,0.0488615
25,29.3434,2.09071,2.28775,0.01035,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.048812,0.048812,0.048812
26,30.418,2.10749,2.4324,0.01125,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.0487625,0.0487625,0.0487625
27,31.5382,2.05354,2.46079,0.01142,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.048713,0.048713,0.048713
28,32.6137,2.27131,2.08141,0.00924,0.03879,0.16667,0.02015,0.00488,2.74156,nan,0.01655,0.0486635,0.0486635,0.0486635
29,33.7609,2.45699,7.97726,0.01707,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.048614,0.048614,0.048614
30,35.0317,3.43051,17.8724,0.0175,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.0485645,0.0485645,0.0485645
31,36.1318,3.32073,19.064,0.01923,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.048515,0.048515,0.048515
32,37.2058,3.28591,20.5727,0.01751,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.0484655,0.0484655,0.0484655
33,38.2713,3.06556,16.0567,0.01684,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.048416,0.048416,0.048416
34,39.3327,2.97732,17.4259,0.01591,0.02194,0.05128,0.00513,0.00069,nan,nan,nan,0.0483665,0.0483665,0.0483665
35,40.4705,3.4392,19.7726,0.01537,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.048317,0.048317,0.048317
36,41.7216,3.42443,19.6422,0.01966,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.0482675,0.0482675,0.0482675
37,42.8455,3.04105,17.1174,0.0205,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.048218,0.048218,0.048218
38,43.9781,3.39352,22.1993,0.01819,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.0481685,0.0481685,0.0481685
39,45.0354,3.19759,16.8136,0.01694,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.048119,0.048119,0.048119
40,46.0895,3.50182,21.5897,0.01667,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.0480695,0.0480695,0.0480695
41,47.1771,3.53696,21.1001,0.01768,0.05978,0.20513,0.02345,0.00353,3.31741,19.4805,0.01807,0.04802,0.04802,0.04802
42,48.4281,3.58585,19.9998,0.02268,0.04687,0.16667,0.02615,0.00398,3.22066,18.9619,0.01749,0.0479705,0.0479705,0.0479705
43,49.5426,3.30014,13.2855,0.01358,0.04687,0.16667,0.02615,0.00398,3.22066,18.9619,0.01749,0.047921,0.047921,0.047921
44,50.6785,3.06745,17.3458,0.01908,0.04687,0.16667,0.02615,0.00398,3.22066,18.9619,0.01749,0.0478715,0.0478715,0.0478715
45,51.8188,3.42619,20.6309,0.01698,0.04687,0.16667,0.02615,0.00398,3.22066,18.9619,0.01749,0.047822,0.047822,0.047822
