n_runs,parameter,parameter_label,value,display_label,f1_mean,f1_std,f1_global_mean,f1_delta_from_global,f1_improvement
12,training_params.trainability_policy,trainability_policy,head_only,trainability_policy=head_only,0.08438959210081481,0.08460640054229425,0.1143082583456618,-0.029918666244846986,-0.029918666244846986
12,training_params.trainability_policy,trainability_policy,head_and_last_stage,trainability_policy=head_and_last_stage,0.06506540451897287,0.045275579032115494,0.1143082583456618,-0.04924285382668893,-0.04924285382668893
12,training_params.trainability_policy,trainability_policy,backbone_frozen,trainability_policy=backbone_frozen,0.1934697784171977,0.18446441726848203,0.1143082583456618,0.0791615200715359,0.0791615200715359
12,training_params.learning_rate,learning_rate,0.01,learning_rate=0.01,0.12019861300151378,0.13347987855186969,0.1143082583456618,0.005890354655851984,0.005890354655851984
12,training_params.learning_rate,learning_rate,0.005,learning_rate=0.005,0.08356730817086153,0.09365531967357615,0.1143082583456618,-0.030740950174800274,-0.030740950174800274
12,training_params.learning_rate,learning_rate,0.001,learning_rate=0.001,0.13915885386461008,0.15925646126587464,0.1143082583456618,0.024850595518948276,0.024850595518948276
18,training_params.weight_decay,weight_decay,0.0,weight_decay=0.0,0.14765932945917218,0.15707792071033683,0.1143082583456618,0.03335107111351038,0.03335107111351038
18,training_params.weight_decay,weight_decay,0.01,weight_decay=0.01,0.08095718723215141,0.08782818033958217,0.1143082583456618,-0.03335107111351039,-0.03335107111351039
