run_id,config_id,combo_index,seed_repeat,seed,status,training_params.seed,best_epoch,best_step,mp,mr,map50,map,f1,training_params.trainability_policy,training_params.learning_rate,training_params.weight_decay
run_001,cfg001,1,1,480058842,success,480058842,0,,0.034722222222222224,0.2127659574468085,0.022439620568148792,0.005768307639505863,0.05970149253731343,head_only,0.01,0.0
run_002,cfg001,1,2,2008149162,success,2008149162,0,,0.2925257234784687,0.30851063829787234,0.20262507171489402,0.08451270879970744,0.30030561679219103,head_only,0.01,0.0
run_003,cfg002,2,1,1809683933,success,1809683933,0,,0.016184251478369126,0.5531914893617021,0.06092609439019455,0.027746825409469635,0.03144844269730874,head_only,0.01,0.01
run_004,cfg002,2,2,1916668254,success,1916668254,0,,0.20164466069318987,0.23404255319148937,0.090891879412024,0.03497548305653591,0.21663904618764968,head_only,0.01,0.01
run_005,cfg003,3,1,2045350804,success,2045350804,0,,0.027366020524515394,0.2553191489361702,0.02078996516532307,0.005343511051716129,0.0494335736354274,head_only,0.005,0.0
run_006,cfg003,3,2,1291844422,success,1291844422,0,,0.015828677839851025,0.5425531914893617,0.06260203709346239,0.02613942319543385,0.0307599517490953,head_only,0.005,0.0
run_007,cfg004,4,1,1352951056,success,1352951056,0,,0.05042143847750861,0.30851063829787234,0.049274636624154586,0.019851403384403422,0.08667684598346843,head_only,0.005,0.01
run_008,cfg004,4,2,828105217,success,828105217,0,,0.016960886119764623,0.5212765957446809,0.04985304374463343,0.01926303533073651,0.03285283271873952,head_only,0.005,0.01
run_009,cfg005,5,1,2107653444,success,2107653444,0,,0.031486146095717885,0.26595744680851063,0.02296289280789733,0.005477075938341671,0.05630630630630631,head_only,0.001,0.0
run_010,cfg005,5,2,110544900,success,110544900,0,,0.028350515463917526,0.35106382978723405,0.02856790498201829,0.008206968469655376,0.05246422893481717,head_only,0.001,0.0
run_011,cfg006,6,1,1348259322,success,1348259322,0,,0.026923076923076925,0.3723404255319149,0.028992485315984397,0.007953390750539293,0.05021520803443329,head_only,0.001,0.01
run_012,cfg006,6,2,523212863,success,523212863,0,,0.02471169686985173,0.3191489361702128,0.02448476832039155,0.007669920703101972,0.045871559633027525,head_only,0.001,0.01
run_013,cfg007,7,1,1083495936,success,1083495936,0,,0.11366501016622184,0.2765957446808511,0.06203107656869651,0.02351588062389754,0.16111924010090323,head_and_last_stage,0.01,0.0
run_014,cfg007,7,2,18052147,success,18052147,0,,0.012081784386617101,0.5531914893617021,0.08590398293566259,0.0342810374127638,0.02364711232378354,head_and_last_stage,0.01,0.0
run_015,cfg008,8,1,65889183,success,65889183,0,,0.01722356183258698,0.5319148936170213,0.0865782922451418,0.033305078797042996,0.0333667000333667,head_and_last_stage,0.01,0.01
run_016,cfg008,8,2,434685653,success,434685653,0,,0.01233183856502242,0.5851063829787234,0.09874239706783342,0.04191696262961536,0.024154589371980676,head_and_last_stage,0.01,0.01
run_017,cfg009,9,1,402032348,success,402032348,0,,0.01458995840177843,0.5851063829787234,0.10694115588325172,0.04091676995779671,0.02847000122969958,head_and_last_stage,0.005,0.0
run_018,cfg009,9,2,194942700,success,194942700,0,,0.05724050612508614,0.3829787234042553,0.0908075856780137,0.03613888451334819,0.09959535836831414,head_and_last_stage,0.005,0.0
run_019,cfg010,10,1,583714313,success,583714313,0,,0.03177028550074571,0.5,0.10141912615597339,0.0437632065101578,0.05974437904297148,head_and_last_stage,0.005,0.01
run_020,cfg010,10,2,2030763182,success,2030763182,0,,0.08713391163531145,0.35106382978723405,0.1019921600790773,0.03702962427193028,0.13961534636728284,head_and_last_stage,0.005,0.01
run_021,cfg011,11,1,362978067,success,362978067,0,,0.0222972972972973,0.35106382978723405,0.03027918220252694,0.008137605122091173,0.04193138500635324,head_and_last_stage,0.001,0.0
