epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0878,2.65706,4.7275,0.00219,0.01794,0.04255,0.00991,0.00712,3.75513,5.32375,0.00434,4e-05,4e-05,0.09604
2,2.1124,2.85671,4.95866,0.00234,0.01843,0.04255,0.01013,0.00678,3.70048,5.41567,0.00419,8.99109e-05,8.99109e-05,0.0910899
3,3.09814,3.57623,4.81494,0.00283,0.0266,0.26596,0.02139,0.00636,3.31565,4.26792,0.00289,0.000139723,0.000139723,0.0861397
4,4.48905,3.19294,4.48518,0.00265,0.03004,0.25532,0.02357,0.00719,3.26638,4.2708,0.00279,0.000189436,0.000189436,0.0811894
5,5.66772,3.38259,4.82329,0.00232,0.03538,0.24468,0.02616,0.00867,3.21367,4.38197,0.00271,0.00023905,0.00023905,0.076239
6,6.72455,3.76284,4.6957,0.00268,0.03538,0.24468,0.02616,0.00867,3.21367,4.38197,0.00271,0.000288564,0.000288564,0.0712886
7,7.76932,3.36968,4.77178,0.00268,0.03538,0.24468,0.02616,0.00867,3.21367,4.38197,0.00271,0.00033798,0.00033798,0.066338
8,8.89336,3.12023,3.87122,0.00232,0.04334,0.06383,0.02309,0.00513,3.29739,3.65906,0.00259,0.000387297,0.000387297,0.0613873
9,9.96731,3.3114,3.98142,0.00256,0.04334,0.06383,0.02309,0.00513,3.29739,3.65906,0.00259,0.000436515,0.000436515,0.0564365
10,11.1774,3.32843,4.02444,0.00252,0.04334,0.06383,0.02309,0.00513,3.29739,3.65906,0.00259,0.000485634,0.000485634,0.0514856
11,12.2512,2.67878,3.38542,0.00172,0.08423,0.11702,0.03625,0.00762,3.30995,3.24941,0.00254,0.000534654,0.000534654,0.0465347
12,13.3745,3.08987,3.47755,0.00203,0.08423,0.11702,0.03625,0.00762,3.30995,3.24941,0.00254,0.000583575,0.000583575,0.0415836
13,14.4787,3.10865,2.99959,0.00224,0.08423,0.11702,0.03625,0.00762,3.30995,3.24941,0.00254,0.000632397,0.000632397,0.0366324
14,15.5859,3.25609,3.11348,0.00212,0.08423,0.11702,0.03625,0.00762,3.30995,3.24941,0.00254,0.00068112,0.00068112,0.0316811
15,16.8348,3.41459,3.72807,0.00225,0.08423,0.11702,0.03625,0.00762,3.30995,3.24941,0.00254,0.000729744,0.000729744,0.0267297
16,17.9231,2.8266,3.55041,0.00165,0.10917,0.17021,0.05058,0.01141,3.20064,3.09018,0.00243,0.000778268,0.000778268,0.0217783
